restaurant_id,name,city,state,cuisine_type,price_band,rating,review_count,address,postal_code,source_url,has_menu,date_accessed
1029685,PEZ MIAMI,Miami,FL,"Seafood, Regional Mexican, Cocktail Bar",$31 to $50,4.3,235,20 W Flagler St,33130,https://www.opentable.com/restaurant/profile/1029685,True,2026-01-24T18:03:21.632165
1234693,EDAN BISTRO,North Miami,FL,"Traditional Spanish, Basque",$31 to $50,4.7,114,650 NE 125th St.,33161,https://www.opentable.com/restaurant/profile/1234693,True,2026-01-24T18:03:21.632426
1417282,Lo D' Alex,Miami,FL,"Latin / Spanish, Latin American, Contemporary Latin",$30 and under,4.5,118,9610 SW 8th St,33174,https://www.opentable.com/restaurant/profile/1417282,True,2026-01-24T18:03:21.632664
95965,Clos Bistro & Cafe,Miami,FL,"Argentinean, Global, International",$30 and under,3.3,3,100 S Biscayne Blvd,33131,https://www.opentable.com/restaurant/profile/95965,True,2026-01-24T18:03:21.632973
1317811,Mastro's Ocean Club - Miami,Miami,FL,Steakhouse,$30 and under,4.8,239,315 S Biscayne Blvd suite 100,33131-2380,https://www.opentable.com/restaurant/profile/1317811,False,2026-01-24T18:03:21.633204
1334512,Bahía,Miami,FL,"Bar / Lounge / Bottle Service, Latin American",$30 and under,4.9,11,1435 Brickell Ave,33131-3407,https://www.opentable.com/restaurant/profile/1334512,False,2026-01-24T18:03:21.633209
1402573,Niño Gordo - Miami,Miami,FL,"Unspecified, Asian",$50 and over,4.2,86,112 NW 28th St,33127-4463,https://www.opentable.com/restaurant/profile/1402573,True,2026-01-24T18:03:21.633213
236167,La Rosa Restaurant,Miami,FL,"Steakhouse, Seafood, Cuban",$31 to $50,4.7,18,4041 Nw 7th St,33126,https://www.opentable.com/restaurant/profile/236167,True,2026-01-24T18:03:21.633347
1423921,Laurel Miami Beach,Miami Beach,FL,"Middle Eastern, Eastern European, Mediterranean",$30 and under,4.8,20,350 Ocean Dr,33139-6905,https://www.opentable.com/restaurant/profile/1423921,True,2026-01-24T18:03:21.633895
1307209,Amelia's 1931,Miami,FL,"Korean, Peruvian, Contemporary Latin",$50 and over,4.8,148,13601 SW 26th St,33175-6357,https://www.opentable.com/restaurant/profile/1307209,False,2026-01-24T18:03:21.634079
236752,Q Restaurant & Lounge,Miami,FL,American,$30 and under,0.0,0,3575 Ne 207th St,33180,https://www.opentable.com/restaurant/profile/236752,True,2026-01-24T18:03:21.634082
260671,Amour de Miami,Miami,FL,American,$30 and under,0.0,0,1401 Brickell Ave,33131,https://www.opentable.com/restaurant/profile/260671,True,2026-01-24T18:03:21.634183
1353199,Fratelli By Jholano's,Miami,FL,Italian,$31 to $50,4.2,52,8860 SW 72nd Pl,33156,https://www.opentable.com/restaurant/profile/1353199,True,2026-01-24T18:03:21.634513
