restaurant_id,name,address,city,state,website_url,price_level,rating,review_count,Maps_link
ChIJtTtSlGkewVQRwn0j4cbD49I,Cafe Soriah,"384 W 13th Ave, Eugene, OR 97401",Eugene,OR,http://www.cafesoriah.com/,PRICE_LEVEL_EXPENSIVE,4.6,733,https://maps.google.com/?cid=15196204826626325954&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJGdvDT2sewVQRi7Spf1RjTas,The Davis Restaurant & Bar,"94 W Broadway, Eugene, OR 97401",Eugene,OR,http://davisrestaurant.com/,PRICE_LEVEL_MODERATE,4.3,658,https://maps.google.com/?cid=12343631368262628491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJPwb6pjfiwFQRZi13YgNnO-0,North Fork Tavern,"2805 Shadowview, Eugene, OR 97408",Eugene,OR,https://www.northforktavern.com/,PRICE_LEVEL_MODERATE,4.3,771,https://maps.google.com/?cid=17094370074849389926&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ65q7LgDHuFQR8NVaNDq3StI,Wildwood,"550 SW Industrial Way #120, Bend, OR 97702",Bend,OR,http://wildwoodbendoregon.com/,PRICE_LEVEL_INEXPENSIVE,4.7,93,https://maps.google.com/?cid=15153125356855809520&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJJcPXrYXIuFQRqUz2vYAM5tQ,Spork,"937 NW Newport Ave #130, Bend, OR 97703",Bend,OR,https://www.sporkbend.com/,PRICE_LEVEL_MODERATE,4.6,2385,https://maps.google.com/?cid=15340962927766555817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJawMqfzHTuFQROP59puoCTqY,Iris at Juniper Preserve,"65765 Pronghorn Club Dr, Bend, OR 97701",Bend,OR,https://juniperpreserve.com/dine/iris/,,4.4,9,https://maps.google.com/?cid=11983518865318346296&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJ47Zi9DXGuFQRtdNdPZXnkVA,Hideaway Bend,"939 SE 2nd St, Bend, OR 97702",Bend,OR,http://www.hideawaytavernbend.com/,PRICE_LEVEL_MODERATE,4.3,861,https://maps.google.com/?cid=5805676022822982581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJSTCdFcV4bIcR9fGSPBKtdTM,Ocean Prime,"1465 Larimer St, Denver, CO 80202",Denver,CO,https://www.ocean-prime.com/locations-menus/denver-larimer-square,PRICE_LEVEL_EXPENSIVE,4.6,2571,https://maps.google.com/?cid=3708060162046751221&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJc8VTUUp5bIcRKsLpvO9z4Ak,major tom,"2845 Larimer St, Denver, CO 80205",Denver,CO,https://majortomdenver.com/,,4.8,134,https://maps.google.com/?cid=711696214628352554&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
ChIJa9KxEsN4bIcRSwNJaUiFiuc,Venice,"1700 Wynkoop St, Denver, CO 80202",Denver,CO,https://www.veniceristorante.com/,PRICE_LEVEL_EXPENSIVE,4.4,1482,https://maps.google.com/?cid=16684294315597955915&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
